Chromosome/scaffold name,Start (bp),End (bp),Feature type
19,48394400,48394801,Promoter
9,72149000,72152001,Promoter
1,176204400,176209001,Promoter
1,7770000,7772801,Promoter
18,25348200,25354001,Promoter
18,157600,160601,Promoter
1,44677000,44677201,Promoter
7,90153200,90153401,Promoter
11,2001000,2002801,Promoter
4,105471400,105474601,Promoter
10,13889000,13892601,Promoter
16,19519800,19526001,Promoter
3,60078001,60081201,Promoter
X,139642201,139643200,Promoter
2,43600,48000,Promoter
8,89729000,89730601,Promoter
19,11204600,11205201,Promoter
4,88758800,88759601,Promoter
17,57599400,57599601,Promoter
1,56478600,56478801,Promoter
1,201954200,201957201,Promoter
19,12887400,12889001,Promoter
6,114421200,114428801,Promoter
16,75244600,75244801,Promoter
10,18400001,18401401,Promoter
19,12399001,12402000,Promoter
20,50310800,50314200,Promoter
4,109559200,109563201,Promoter
2,43103000,43103201,Promoter
5,131262200,131269201,Promoter
15,97959600,97963801,Promoter
12,4537000,4541001,Promoter
7,1043600,1045801,Promoter
11,101126001,101130001,Promoter
1,43170001,43170401,Promoter
22,36334200,36334401,Promoter
19,44446801,44449200,Promoter
X,87704001,87704400,Promoter
X,12906200,12910601,Promoter
9,106697600,106698401,Promoter
12,56153800,56155601,Promoter
17,79795400,79799001,Promoter
6,30488400,30494201,Promoter
1,116167600,116169201,Promoter
7,35799200,35804001,Promoter
2,55292200,55292601,Promoter
2,128315600,128315801,Promoter
16,14301000,14305401,Promoter
17,36943000,36943201,Promoter
1,216720200,216724800,Promoter
8,22979600,22979801,Promoter
17,81003600,81004601,Promoter
2,224485600,224485801,Promoter
15,58986800,58990201,Promoter
19,10108800,10109200,Promoter
1,19390200,19392401,Promoter
2,68742200,68742401,Promoter
2,154696801,154701000,Promoter
20,45832800,45836601,Promoter
11,69052400,69052801,Promoter
9,688000,688401,Promoter
12,24951200,24951601,Promoter
2,27888800,27892401,Promoter
8,26582400,26583001,Promoter
7,150798600,150802200,Promoter
19,40417200,40417401,Promoter
18,50265401,50268801,Promoter
12,122964400,122964601,Promoter
2,231717200,231717801,Promoter
15,70196400,70196801,Promoter
7,156947800,156952401,Promoter
2,207254800,207255001,Promoter
7,70595600,70597201,Promoter
16,10868400,10869201,Promoter
6,110043800,110044001,Promoter
3,48086200,48090201,Promoter
1,201019400,201024601,Promoter
6,26472600,26475601,Promoter
19,13055200,13056201,Promoter
12,63821401,63822601,Promoter
6,36756000,36757601,Promoter
1,35448800,35449001,Promoter
9,105447400,105450401,Promoter
17,78416800,78417401,Promoter
15,58864400,58867001,Promoter
2,197640200,197641600,Promoter
2,196242200,196243001,Promoter
X,47481400,47485401,Promoter
10,50885201,50885801,Promoter
14,95514400,95517401,Promoter
12,54173200,54174001,Promoter
13,45329200,45330001,Promoter
1,206915600,206916801,Promoter
17,32340800,32343001,Promoter
12,93738600,93738801,Promoter
8,143961800,143962201,Promoter
1,108745401,108748601,Promoter
14,23093000,23097801,Promoter
2,11779000,11779401,Promoter
10,22604800,22606401,Promoter
1,205629600,205633401,Promoter
1,28086600,28090001,Promoter
16,23952400,23952801,Promoter
19,58149001,58151601,Promoter
2,108612400,108612801,Promoter
8,43247400,43247600,Promoter
19,51224600,51227201,Promoter
9,17017800,17018001,Promoter
4,184417000,184417801,Promoter
7,153748200,153749201,Promoter
3,71246000,71246401,Promoter
22,49928801,49929001,Promoter
19,36309200,36310400,Promoter
14,92555600,92555801,Promoter
16,29818400,29823001,Promoter
11,45664000,45664201,Promoter
5,135378200,135378401,Promoter
11,89489801,89492201,Promoter
12,51008000,51009401,Promoter
4,179464001,179464201,Promoter
22,40007800,40008001,Promoter
15,59616401,59617200,Promoter
11,858800,859001,Promoter
20,3784400,3787801,Promoter
16,56624600,56627601,Promoter
14,24187200,24189401,Promoter
17,6554600,6557201,Promoter
11,78022000,78024000,Promoter
1,146297000,146299201,Promoter
22,22357200,22357401,Promoter
X,66014800,66019601,Promoter
6,101392000,101395000,Promoter
1,26723000,26724001,Promoter
12,80940200,80940401,Promoter
12,7843000,7844001,Promoter
19,46658800,46662601,Promoter
12,124884800,124885001,Promoter
17,21549200,21552201,Promoter
4,57107000,57111801,Promoter
12,118356600,118359801,Promoter
3,128864400,128865401,Promoter
14,105313200,105316401,Promoter
15,82372601,82373001,Promoter
16,3259600,3259801,Promoter
3,150039200,150039400,Promoter
6,117481400,117485201,Promoter
X,131818400,131818601,Promoter
1,161259600,161259800,Promoter
1,154960200,154963201,Promoter
20,38431801,38435801,Promoter
19,47313600,47314001,Promoter
13,50230400,50230801,Promoter
2,36353600,36354001,Promoter
2,28664200,28665601,Promoter
13,48567800,48568001,Promoter
22,42644800,42650400,Promoter
2,218282400,218282601,Promoter
3,186825400,186825801,Promoter
7,155294200,155294601,Promoter
7,24572200,24576001,Promoter
10,387200,387401,Promoter
17,19979800,19980401,Promoter
X,123877800,123878801,Promoter
6,27018201,27021001,Promoter
7,67301000,67304201,Promoter
16,20763200,20764401,Promoter
17,75096200,75096401,Promoter
4,24797400,24798000,Promoter
11,68210800,68215801,Promoter
2,96157000,96157401,Promoter
3,55477600,55489601,Promoter
6,6915600,6916601,Promoter
15,51834200,51834601,Promoter
9,128249600,128251801,Promoter
1,222710200,222714801,Promoter
20,47500600,47505401,Promoter
4,72031401,72033400,Promoter
10,104231201,104233201,Promoter
19,19190400,19194601,Promoter
19,46470400,46472001,Promoter
6,44125200,44129201,Promoter
6,31793600,31798401,Promoter
9,127577000,127577801,Promoter
X,115592400,115596001,Promoter
6,166860801,166863401,Promoter
19,18939000,18942001,Promoter
14,103713800,103717601,Promoter
1,149632600,149633201,Promoter
16,89374400,89374801,Promoter
12,106132000,106132201,Promoter
15,40436000,40438201,Promoter
17,43294800,43298601,Promoter
11,114172800,114173801,Promoter
16,8944200,8944401,Promoter
1,31766600,31767401,Promoter
8,127926600,127926801,Promoter
10,16815800,16818801,Promoter
X,101539001,101539400,Promoter
1,100423000,100423201,Promoter
17,5582600,5585601,Promoter
4,92270400,92278001,Promoter
9,32783001,32784001,Promoter
1,120122000,120123401,Promoter
20,38270800,38271401,Promoter
2,218327200,218327401,Promoter
15,69468200,69468401,Promoter
16,90102800,90103401,Promoter
17,34156400,34158001,Promoter
22,23856401,23859001,Promoter
2,169069400,169073601,Promoter
12,53440400,53445001,Promoter
20,46708800,46710801,Promoter
21,37409600,37410001,Promoter
12,52491800,52492801,Promoter
12,8696400,8700201,Promoter
2,230066800,230069601,Promoter
17,19144000,19144401,Promoter
16,68037800,68039001,Promoter
10,103852200,103856601,Promoter
22,37021400,37022001,Promoter
7,26158000,26158201,Promoter
1,52364400,52369201,Promoter
7,137999200,138003400,Promoter
20,1313200,1313801,Promoter
3,161429201,161429800,Promoter
20,45336600,45338201,Promoter
14,46063601,46064600,Promoter
9,97631600,97637201,Promoter
15,97521200,97522801,Promoter
18,650400,650801,Promoter
7,38276600,38277201,Promoter
5,149729600,149734401,Promoter
14,93429601,93429801,Promoter
6,89116800,89119200,Promoter
19,8525001,8527601,Promoter
9,125745200,125752801,Promoter
14,20955200,20955401,Promoter
2,101309800,101310201,Promoter
12,69738001,69741201,Promoter
5,141208800,141209800,Promoter
17,46243400,46244001,Promoter
10,27997601,27999600,Promoter
3,11567800,11569401,Promoter
1,150362600,150367801,Promoter
X,33741800,33743400,Promoter
2,215432200,215437801,Promoter
9,93575000,93578601,Promoter
11,7989200,7989601,Promoter
1,923001,926201,Promoter
1,168178001,168180801,Promoter
1,151789400,151792201,Promoter
11,14339000,14339201,Promoter
10,71708400,71708601,Promoter
3,138082400,138082601,Promoter
5,140156800,140158000,Promoter
17,74601800,74602401,Promoter
6,30764200,30764801,Promoter
11,48054200,48054801,Promoter
8,22971400,22971601,Promoter
3,10145200,10145601,Promoter
17,19304400,19304601,Promoter
1,27487400,27491401,Promoter
20,45856000,45858601,Promoter
17,63439600,63440401,Promoter
19,56367401,56369801,Promoter
19,39514800,39516800,Promoter
4,6198600,6201201,Promoter
7,100480200,100480601,Promoter
10,124721800,124722201,Promoter
10,96306200,96307201,Promoter
11,64851000,64853001,Promoter
2,165293600,165295001,Promoter
11,111908800,111915000,Promoter
17,21376000,21378201,Promoter
12,10386801,10390001,Promoter
1,16611200,16611401,Promoter
5,140725200,140727001,Promoter
14,23294800,23295201,Promoter
19,10228400,10228801,Promoter
22,15750801,15751200,Promoter
1,32753400,32756001,Promoter
2,32262000,32265401,Promoter
7,131057000,131058001,Promoter
15,30473600,30473800,Promoter
12,51424400,51425801,Promoter
10,44974200,44979401,Promoter
2,219912401,219912601,Promoter
19,40054600,40057600,Promoter
6,39821000,39825801,Promoter
5,140965600,140967201,Promoter
22,18933800,18936601,Promoter
16,67528000,67532801,Promoter
2,222671000,222673001,Promoter
X,33338401,33339800,Promoter
17,32521600,32522401,Promoter
7,104940401,104946201,Promoter
17,74360800,74363201,Promoter
1,28251000,28251401,Promoter
7,6703001,6708200,Promoter
12,49365800,49369601,Promoter
17,7212600,7221801,Promoter
9,84667600,84673801,Promoter
11,111601400,111605401,Promoter
18,23457800,23458201,Promoter
X,51891600,51892201,Promoter
8,22558400,22558601,Promoter
11,64996000,64997401,Promoter
5,73497000,73501201,Promoter
9,68303400,68303601,Promoter
2,218895800,218898201,Promoter
1,116111800,116112001,Promoter
3,146470600,146470800,Promoter
1,118984200,118989001,Promoter
17,79991400,79994201,Promoter
18,13566800,13568001,Promoter
16,4800200,4800401,Promoter
11,62428000,62428601,Promoter
15,74430600,74434801,Promoter
1,119715600,119715801,Promoter
3,181726400,181729801,Promoter
2,120251400,120256001,Promoter
3,129890600,129891201,Promoter
6,41036800,41040201,Promoter
19,42301000,42303601,Promoter
1,151345000,151345201,Promoter
17,16988600,16989601,Promoter
X,17632800,17633001,Promoter
X,136635400,136636601,Promoter
17,72029800,72031801,Promoter
20,58689600,58689801,Promoter
2,99153800,99156201,Promoter
3,121914200,121914401,Promoter
8,124723000,124725001,Promoter
1,15584000,15585401,Promoter
3,39146400,39155801,Promoter
16,19698000,19698201,Promoter
22,50481000,50482801,Promoter
7,836800,837001,Promoter
2,169823000,169823201,Promoter
17,45489000,45492001,Promoter
8,38230400,38233401,Promoter
11,134034800,134038201,Promoter
X,21838800,21841201,Promoter
7,151017000,151017201,Promoter
14,21508800,21509001,Promoter
14,103417600,103417801,Promoter
3,195894200,195897601,Promoter
15,40098200,40099801,Promoter
20,50509400,50514801,Promoter
5,52786600,52791600,Promoter
21,5153200,5155401,Promoter
15,63487200,63487801,Promoter
19,10959600,10963401,Promoter
4,73853200,73853801,Promoter
11,34443400,34443601,Promoter
10,21523600,21530001,Promoter
20,46002600,46003601,Promoter
3,163361001,163362000,Promoter
1,99764000,99767401,Promoter
10,132248400,132249601,Promoter
14,101073000,101073601,Promoter
12,64389800,64391201,Promoter
4,110617801,110624000,Promoter
17,50266600,50267001,Promoter
17,59219800,59222001,Promoter
15,31368000,31368201,Promoter
X,57136201,57138201,Promoter
17,34183400,34187000,Promoter
12,64679400,64680401,Promoter
15,64772400,64777001,Promoter
X,24145200,24147401,Promoter
11,27467800,27468001,Promoter
15,38072000,38074201,Promoter
X,54999000,55002201,Promoter
1,156335800,156339600,Promoter
3,158800800,158804801,Promoter
1,6259600,6261801,Promoter
X,18424200,18428401,Promoter
2,98824200,98824601,Promoter
2,80163001,80163200,Promoter
12,57150000,57150201,Promoter
2,37155600,37157801,Promoter
8,94821800,94825601,Promoter
22,20115600,20119401,Promoter
1,108830000,108830201,Promoter
19,48751001,48753801,Promoter
11,93529800,93530001,Promoter
3,128803600,128805201,Promoter
7,117119200,117119401,Promoter
8,73356400,73357001,Promoter
9,2013800,2020001,Promoter
14,40346201,40348801,Promoter
17,81052000,81052201,Promoter
1,145232600,145233401,Promoter
12,6787600,6788001,Promoter
16,81610400,81610601,Promoter
19,58542600,58547201,Promoter
22,42283200,42284401,Promoter
13,48536800,48537001,Promoter
2,226908200,226908401,Promoter
2,101386400,101388201,Promoter
19,21358201,21360601,Promoter
8,76672600,76675401,Promoter
16,84184800,84187600,Promoter
9,124411400,124411801,Promoter
3,58305800,58308201,Promoter
12,49963800,49964200,Promoter
1,242447600,242449401,Promoter
9,128419200,128422001,Promoter
22,18970000,18972001,Promoter
3,53159400,53159801,Promoter
7,6482200,6485201,Promoter
8,73370200,73371401,Promoter
17,43394200,43394401,Promoter
3,130095200,130095601,Promoter
3,83953800,83955000,Promoter
11,119366600,119368201,Promoter
21,34180000,34181401,Promoter
5,781601,782001,Promoter
9,136711400,136711601,Promoter
2,9103000,9103401,Promoter
12,98502201,98505001,Promoter
11,111935800,111936001,Promoter
20,33991600,33996401,Promoter
2,85710200,85711001,Promoter
17,31888400,31888601,Promoter
15,68815800,68822601,Promoter
1,99003201,99005601,Promoter
22,37657600,37661801,Promoter
6,156976000,156977801,Promoter
12,49346000,49347001,Promoter
13,113044400,113046800,Promoter
1,2584200,2584401,Promoter
2,171517201,171517800,Promoter
X,119755600,119761201,Promoter
6,111755000,111760801,Promoter
8,119636201,119640001,Promoter
14,71848400,71849400,Promoter
1,19642801,19648801,Promoter
19,50817800,50818601,Promoter
6,20421600,20422001,Promoter
5,116083800,116086601,Promoter
19,10716800,10720401,Promoter
13,40977400,40986801,Promoter
18,5293200,5293401,Promoter
3,155850800,155856001,Promoter
9,133141600,133141801,Promoter
7,102492001,102492201,Promoter
6,31680400,31682001,Promoter
1,25335000,25341001,Promoter
14,100681000,100681201,Promoter
3,62952000,62952200,Promoter
13,21456400,21460201,Promoter
20,56425000,56425601,Promoter
11,102463201,102464001,Promoter
5,141525000,141525401,Promoter
7,130898800,130903201,Promoter
12,6602400,6610601,Promoter
8,10727800,10731401,Promoter
17,73642600,73646201,Promoter
12,85279201,85283200,Promoter
22,26511000,26514001,Promoter
3,63976400,63976601,Promoter
2,172554600,172558801,Promoter
12,111400200,111400401,Promoter
10,110859800,110860401,Promoter
3,177442200,177442401,Promoter
19,45779200,45784601,Promoter
12,94174400,94174801,Promoter
18,13724400,13728801,Promoter
16,18785400,18791600,Promoter
1,182388200,182393801,Promoter
19,49571200,49571601,Promoter
1,206012000,206012601,Promoter
16,89718000,89718601,Promoter
1,212672200,212672401,Promoter
1,31523800,31524801,Promoter
9,127578000,127578201,Promoter
11,4610200,4610801,Promoter
19,49156800,49159601,Promoter
7,15561200,15562400,Promoter
11,72206200,72209401,Promoter
18,77249000,77250001,Promoter
6,19803600,19805601,Promoter
1,219926201,219929001,Promoter
X,48590200,48591001,Promoter
7,112448400,112454201,Promoter
10,42365601,42368401,Promoter
4,107283800,107284001,Promoter
19,35152600,35152801,Promoter
19,48613000,48615801,Promoter
19,56537001,56540600,Promoter
22,43185200,43188401,Promoter
19,51369800,51373601,Promoter
14,24230200,24230401,Promoter
10,32938400,32939601,Promoter
11,71855800,71856001,Promoter
9,128634600,128637601,Promoter
17,38867000,38874001,Promoter
5,40832600,40836601,Promoter
21,46225600,46226001,Promoter
16,71287400,71290601,Promoter
1,27771800,27775401,Promoter
7,103150600,103150801,Promoter
2,240818400,240821601,Promoter
2,43773601,43775400,Promoter
15,34223601,34226401,Promoter
19,18101800,18102200,Promoter
12,27331200,27334801,Promoter
19,53466401,53470201,Promoter
10,46375400,46377001,Promoter
17,50117000,50117801,Promoter
16,87464200,87465801,Promoter
15,23564601,23569801,Promoter
4,56530000,56531601,Promoter
19,16586200,16586601,Promoter
17,30953800,30954001,Promoter
22,46377800,46378201,Promoter
9,110151400,110152601,Promoter
21,39350800,39351001,Promoter
11,43575200,43576601,Promoter
X,27397801,27399201,Promoter
19,44211401,44214201,Promoter
17,74985600,74985801,Promoter
1,205440400,205441601,Promoter
1,231612600,231613601,Promoter
1,68174000,68174401,Promoter
19,35039600,35044001,Promoter
15,34791401,34796001,Promoter
10,126904400,126907201,Promoter
3,8768000,8770001,Promoter
11,134272800,134273401,Promoter
14,91355800,91356001,Promoter
5,66739200,66739401,Promoter
3,16696000,16697401,Promoter
9,112104800,112105401,Promoter
1,906000,906201,Promoter
11,72239400,72240401,Promoter
8,65795200,65795800,Promoter
17,64386600,64393401,Promoter
19,54113201,54117201,Promoter
19,14216800,14218001,Promoter
11,75428000,75429001,Promoter
2,148926200,148927401,Promoter
19,42395600,42396001,Promoter
2,46568800,46569001,Promoter
3,39216400,39216601,Promoter
4,153151800,153154601,Promoter
2,85404600,85406001,Promoter
2,101519200,101519401,Promoter
7,75993200,75995401,Promoter
17,64835400,64838801,Promoter
14,100677800,100678201,Promoter
17,3634800,3638601,Promoter
7,24444801,24445001,Promoter
4,75511400,75516201,Promoter
1,235919000,235919201,Promoter
3,177189200,177190001,Promoter
1,67830400,67834201,Promoter
17,81130400,81133201,Promoter
17,41524800,41530201,Promoter
19,820401,823001,Promoter
2,239303400,239303601,Promoter
19,7928400,7928801,Promoter
9,19100800,19104001,Promoter
5,62313600,62313801,Promoter
9,127559800,127564201,Promoter
17,61861200,61864601,Promoter
1,180631400,180634801,Promoter
X,72776401,72778401,Promoter
1,154419400,154420601,Promoter
14,91375400,91376401,Promoter
20,43190400,43190601,Promoter
19,795600,802601,Promoter
7,82440400,82445201,Promoter
19,47098400,47098601,Promoter
3,32684200,32686801,Promoter
3,194269400,194270201,Promoter
11,35165000,35168001,Promoter
20,50189000,50195601,Promoter
12,72269400,72277401,Promoter
1,45203600,45207401,Promoter
2,48312800,48317601,Promoter
1,121051600,121052800,Promoter
17,31568400,31568801,Promoter
2,223056800,223057401,Promoter
13,20961000,20961801,Promoter
X,56562400,56568001,Promoter
19,7676800,7677401,Promoter
4,54060400,54066201,Promoter
13,99686600,99688401,Promoter
11,64164200,64167201,Promoter
13,20523800,20527201,Promoter
10,114042601,114048801,Promoter
15,92880600,92888601,Promoter
3,122184000,122184601,Promoter
X,153878800,153879801,Promoter
22,46012600,46015201,Promoter
2,162077401,162077800,Promoter
19,43634600,43641001,Promoter
1,145857800,145860401,Promoter
12,121534000,121534401,Promoter
3,8931201,8931800,Promoter
17,44141400,44143201,Promoter
16,8645000,8645401,Promoter
12,123448000,123449001,Promoter
9,88386600,88390801,Promoter
10,43266400,43267600,Promoter
11,20669000,20670201,Promoter
16,28364000,28365401,Promoter
18,3411800,3414200,Promoter
14,103923800,103924001,Promoter
6,154353800,154354001,Promoter
1,153542200,153546801,Promoter
12,107758600,107762200,Promoter
3,37957200,37957601,Promoter
11,125103800,125104201,Promoter
17,50371800,50374200,Promoter
17,78745800,78746001,Promoter
7,155381600,155381801,Promoter
16,30393601,30397001,Promoter
5,181240800,181250601,Promoter
3,158731200,158734201,Promoter
11,74018600,74019001,Promoter
7,42913000,42913201,Promoter
17,64847800,64848201,Promoter
10,63515000,63515801,Promoter
11,72431200,72431401,Promoter
22,41204800,41206601,Promoter
6,93415801,93421201,Promoter
6,31733600,31741401,Promoter
8,141120600,141121601,Promoter
11,117198200,117203401,Promoter
22,19951600,19952401,Promoter
17,41519200,41519401,Promoter
19,56594001,56597001,Promoter
7,90210400,90214001,Promoter
8,11692201,11693401,Promoter
15,93070000,93073801,Promoter
2,120011800,120015000,Promoter
10,104317400,104317601,Promoter
15,51750601,51753001,Promoter
21,45591800,45593401,Promoter
4,10006800,10007201,Promoter
22,21641400,21643801,Promoter
1,26357400,26360801,Promoter
22,45501800,45506401,Promoter
6,26222600,26226801,Promoter
4,112144800,112148201,Promoter
11,413000,418001,Promoter
2,64452800,64456001,Promoter
20,10667000,10676001,Promoter
1,27525200,27529601,Promoter
3,64220800,64221201,Promoter
11,27360800,27361001,Promoter
12,53009400,53010401,Promoter
5,176413000,176414001,Promoter
20,54206800,54209801,Promoter
22,36065200,36066801,Promoter
19,7888000,7889401,Promoter
2,6916800,6919401,Promoter
10,100996200,101002801,Promoter
9,13277600,13280600,Promoter
1,235938800,235939001,Promoter
4,5709600,5712401,Promoter
19,36665001,36668801,Promoter
1,204828200,204830601,Promoter
14,22587400,22592000,Promoter
1,20784400,20788801,Promoter
12,7872401,7873401,Promoter
14,21265200,21270601,Promoter
9,134359000,134359401,Promoter
8,22585600,22586001,Promoter
2,64666400,64666601,Promoter
16,81740200,81740601,Promoter
16,21598200,21604601,Promoter
6,168034800,168036401,Promoter
2,96344000,96344401,Promoter
12,54363600,54364601,Promoter
1,161626000,161626201,Promoter
13,18680401,18680800,Promoter
11,105042200,105046201,Promoter
16,31427201,31428801,Promoter
19,34998200,35002801,Promoter
14,33946601,33951801,Promoter
19,51393000,51395801,Promoter
12,77600,78201,Promoter
8,124262400,124262801,Promoter
14,69625200,69626201,Promoter
10,45592400,45595800,Promoter
5,96660800,96664401,Promoter
12,121786200,121795801,Promoter
12,103955200,103958201,Promoter
2,172088800,172092200,Promoter
20,45811800,45814601,Promoter
5,127409201,127409401,Promoter
16,2966600,2966801,Promoter
11,108551001,108551601,Promoter
16,70476400,70476801,Promoter
5,91468800,91469201,Promoter
16,89502000,89502601,Promoter
11,47979400,47984601,Promoter
9,36765000,36766800,Promoter
12,120640001,120641801,Promoter
10,133520000,133521001,Promoter
5,79989600,79992400,Promoter
19,34364400,34367201,Promoter
X,123730400,123733800,Promoter
3,141401000,141407001,Promoter
14,29390200,29390801,Promoter
10,26431600,26432001,Promoter
1,156694200,156694801,Promoter
2,190760800,190761601,Promoter
1,155016400,155016601,Promoter
19,11379000,11379201,Promoter
3,52892400,52893601,Promoter
16,85574000,85574401,Promoter
1,171484001,171488801,Promoter
12,109772601,109773801,Promoter
6,167932600,167932801,Promoter
10,68337400,68338001,Promoter
3,121833400,121837201,Promoter
8,95072800,95074801,Promoter
19,1406600,1412001,Promoter
12,30794800,30797601,Promoter
11,27219000,27220600,Promoter
9,42757000,42757200,Promoter
1,44408400,44409201,Promoter
6,89148800,89149001,Promoter
15,65774600,65775001,Promoter
12,57455200,57458201,Promoter
20,20266000,20267201,Promoter
2,24355200,24355401,Promoter
6,25164800,25167201,Promoter
12,24559200,24559801,Promoter
1,160283600,160286001,Promoter
17,75782800,75787001,Promoter
12,17589000,17589201,Promoter
21,36079000,36079401,Promoter
5,17215600,17221001,Promoter
14,91864000,91868601,Promoter
2,195532000,195532201,Promoter
7,122883800,122887801,Promoter
9,5303000,5304801,Promoter
17,58531000,58532801,Promoter
19,3284600,3286800,Promoter
1,181036800,181037001,Promoter
1,247937000,247938000,Promoter
22,26902600,26903801,Promoter
11,133809600,133809801,Promoter
5,34838201,34840200,Promoter
19,41301000,41301401,Promoter
14,61706600,61707201,Promoter
22,32203800,32206001,Promoter
7,97927601,97928601,Promoter
16,35506000,35506801,Promoter
1,87131800,87133001,Promoter
X,150691800,150696001,Promoter
4,131734600,131735201,Promoter
10,125880600,125881401,Promoter
7,36719600,36725001,Promoter
2,148024000,148024201,Promoter
6,44312000,44314001,Promoter
5,138540400,138545601,Promoter
11,118206800,118207401,Promoter
22,40950000,40953401,Promoter
9,2842000,2845601,Promoter
6,146803600,146804001,Promoter
5,124737400,124738401,Promoter
2,119678200,119680401,Promoter
16,81449800,81450001,Promoter
1,138000,138801,Promoter
3,195445400,195445801,Promoter
2,239623200,239623401,Promoter
7,33400,34601,Promoter
X,107627600,107631001,Promoter
10,43846400,43846801,Promoter
4,17513200,17513601,Promoter
14,51488800,51491001,Promoter
19,49689000,49692401,Promoter
4,118350401,118353801,Promoter
2,230725200,230725601,Promoter
2,219205601,219208001,Promoter
14,99229400,99249201,Promoter
12,66236600,66236801,Promoter
1,4735400,4735601,Promoter
12,54028200,54030201,Promoter
20,37396800,37397001,Promoter
22,45688600,45689001,Promoter
2,118087400,118091201,Promoter
14,72925400,72928201,Promoter
20,46362800,46365401,Promoter
3,195859400,195859801,Promoter
20,25053200,25054001,Promoter
17,46259600,46261000,Promoter
6,159116400,159116601,Promoter
X,30652200,30657201,Promoter
17,8246200,8251000,Promoter
15,84616200,84616401,Promoter
4,121950000,121952401,Promoter
5,150245000,150245601,Promoter
11,6617400,6620201,Promoter
2,191019000,191022001,Promoter
10,79267000,79267201,Promoter
17,50197200,50197401,Promoter
2,181456400,181463601,Promoter
11,78138400,78141201,Promoter
4,679800,680001,Promoter
1,234924800,234925801,Promoter
16,23182001,23185801,Promoter
16,2194800,2197400,Promoter
4,110252001,110252200,Promoter
19,17797600,17798401,Promoter
13,106493400,106494001,Promoter
14,68782400,68783001,Promoter
11,76664800,76665001,Promoter
4,81030200,81032000,Promoter
19,11417800,11420001,Promoter
19,21765600,21768200,Promoter
4,1683000,1685401,Promoter
8,109605600,109606001,Promoter
9,36149000,36149201,Promoter
1,16665600,16668001,Promoter
10,102785400,102786401,Promoter
3,195149400,195151201,Promoter
X,66004800,66005001,Promoter
15,92921400,92922001,Promoter
7,931400,931601,Promoter
16,70418200,70418801,Promoter
8,11902000,11903001,Promoter
2,110112400,110116601,Promoter
22,18205201,18206001,Promoter
7,123655800,123661400,Promoter
20,5750000,5751801,Promoter
16,75238200,75239201,Promoter
10,73589000,73590401,Promoter
7,106774600,106775001,Promoter
15,60374200,60375201,Promoter
18,76486600,76487001,Promoter
12,31968400,31968601,Promoter
11,134120000,134121401,Promoter
16,88801800,88805601,Promoter
3,123026000,123028801,Promoter
10,133259000,133259201,Promoter
16,85306200,85306401,Promoter
2,28749400,28756401,Promoter
16,4314000,4319201,Promoter
5,10357800,10358401,Promoter
5,25909401,25909600,Promoter
7,24908000,24908201,Promoter
21,42395800,42396201,Promoter
1,150552000,150553601,Promoter
7,151008000,151011201,Promoter
1,156281200,156284801,Promoter
2,107748000,107748401,Promoter
2,65064000,65064401,Promoter
12,126936600,126937000,Promoter
12,110466600,110470201,Promoter
5,77637401,77637801,Promoter
1,70351000,70356201,Promoter
10,62040400,62040801,Promoter
8,22690200,22690401,Promoter
12,95941801,95944201,Promoter
19,34771801,34773800,Promoter
6,6318800,6321201,Promoter
4,70901201,70904601,Promoter
2,96507800,96508801,Promoter
17,47190200,47190600,Promoter
3,11223600,11227001,Promoter
17,7407800,7408601,Promoter
4,158209400,158209801,Promoter
1,3673000,3673401,Promoter
12,100127800,100129601,Promoter
3,3172800,3174401,Promoter
8,144102400,144106201,Promoter
17,76550600,76551401,Promoter
17,39652600,39652801,Promoter
3,12837600,12839201,Promoter
21,44922600,44923801,Promoter
3,23805000,23812401,Promoter
8,66774000,66777801,Promoter
4,184471000,184477001,Promoter
2,74379400,74380601,Promoter
X,96372600,96372801,Promoter
8,85105601,85108401,Promoter
1,206101000,206101201,Promoter
12,51687200,51687601,Promoter
1,42960400,42960801,Promoter
6,15243200,15250801,Promoter
16,88237400,88237601,Promoter
6,123802400,123806201,Promoter
2,117814000,117816401,Promoter
17,44360800,44364401,Promoter
2,180872600,180873600,Promoter
16,30530800,30531800,Promoter
21,34374400,34376601,Promoter
6,2919200,2919401,Promoter
14,49999200,50004401,Promoter
20,62836200,62836601,Promoter
11,47399600,47401201,Promoter
1,154342800,154344001,Promoter
2,240893400,240893801,Promoter
19,42400200,42400601,Promoter
1,99969000,99971601,Promoter
1,116986600,116987401,Promoter
22,50698600,50698801,Promoter
14,101677600,101678201,Promoter
3,157542601,157544001,Promoter
8,144272600,144273401,Promoter
18,41630001,41632601,Promoter
10,42637000,42639601,Promoter
12,127059600,127064001,Promoter
14,39429200,39434201,Promoter
17,79919400,79920800,Promoter
1,94536600,94543801,Promoter
2,85753000,85757800,Promoter
1,54230200,54230801,Promoter
9,22004600,22010201,Promoter
14,94598400,94598801,Promoter
12,110448600,110451201,Promoter
4,52750600,52752001,Promoter
10,93757600,93759401,Promoter
11,65542400,65543200,Promoter
17,78383600,78383801,Promoter
6,16240800,16241401,Promoter
12,124510400,124510601,Promoter
3,195583400,195584401,Promoter
22,20569200,20569601,Promoter
17,77324800,77325001,Promoter
5,141420601,141422200,Promoter
1,2132200,2136801,Promoter
7,142535200,142536400,Promoter
17,49213800,49214401,Promoter
